Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40470030),Jonathan Taylor,40470030,RB/FLEX,9500,TEN@IND 10/26/2025 04:25PM ET,IND,26.89
RB,Christian McCaffrey (40470032),Christian McCaffrey,40470032,RB/FLEX,9000,SF@HOU 10/26/2025 01:00PM ET,SF,27.16
RB,Bijan Robinson (40470034),Bijan Robinson,40470034,RB/FLEX,8800,MIA@ATL 10/26/2025 01:00PM ET,ATL,26.23
WR,Ja'Marr Chase (40470264),Ja'Marr Chase,40470264,WR/FLEX,8100,NYJ@CIN 10/26/2025 01:00PM ET,CIN,22.79
WR,CeeDee Lamb (40470266),CeeDee Lamb,40470266,WR/FLEX,7800,DAL@DEN 10/26/2025 04:25PM ET,DAL,17.3
RB,Saquon Barkley (40470036),Saquon Barkley,40470036,RB/FLEX,7600,NYG@PHI 10/26/2025 01:00PM ET,PHI,13.49
QB,Josh Allen (40469963),Josh Allen,40469963,QB,7500,BUF@CAR 10/26/2025 01:00PM ET,BUF,23.55
RB,De'Von Achane (40470038),De'Von Achane,40470038,RB/FLEX,7300,MIA@ATL 10/26/2025 01:00PM ET,MIA,19.9
WR,Nico Collins (40470268),Nico Collins,40470268,WR/FLEX,7200,SF@HOU 10/26/2025 01:00PM ET,HOU,13.45
WR,George Pickens (40470270),George Pickens,40470270,WR/FLEX,7100,DAL@DEN 10/26/2025 04:25PM ET,DAL,19.81
WR,Emeka Egbuka (40470272),Emeka Egbuka,40470272,WR/FLEX,7000,TB@NO 10/26/2025 04:05PM ET,TB,17.51
RB,Bucky Irving (40470042),Bucky Irving,40470042,RB/FLEX,6900,TB@NO 10/26/2025 04:05PM ET,TB,19
QB,Lamar Jackson (40469964),Lamar Jackson,40469964,QB,6800,CHI@BAL 10/26/2025 01:00PM ET,BAL,23.84
RB,Javonte Williams (40470040),Javonte Williams,40470040,RB/FLEX,6800,DAL@DEN 10/26/2025 04:25PM ET,DAL,19.67
RB,James Cook III (40470044),James Cook III,40470044,RB/FLEX,6700,BUF@CAR 10/26/2025 01:00PM ET,BUF,18.93
QB,Jalen Hurts (40469965),Jalen Hurts,40469965,QB,6600,NYG@PHI 10/26/2025 01:00PM ET,PHI,21.92
RB,Cam Skattebo (40470046),Cam Skattebo,40470046,RB/FLEX,6600,NYG@PHI 10/26/2025 01:00PM ET,NYG,16.96
RB,Quinshon Judkins (40470048),Quinshon Judkins,40470048,RB/FLEX,6500,CLE@NE 10/26/2025 01:00PM ET,CLE,15.82
WR,Mike Evans (40470274),Mike Evans,40470274,WR/FLEX,6500,TB@NO 10/26/2025 04:05PM ET,TB,8.5
QB,Dak Prescott (40469966),Dak Prescott,40469966,QB,6500,DAL@DEN 10/26/2025 04:25PM ET,DAL,22.26
WR,Drake London (40470276),Drake London,40470276,WR/FLEX,6400,MIA@ATL 10/26/2025 01:00PM ET,ATL,16.98
QB,Baker Mayfield (40469967),Baker Mayfield,40469967,QB,6400,TB@NO 10/26/2025 04:05PM ET,TB,20.21
RB,Rachaad White (40470050),Rachaad White,40470050,RB/FLEX,6400,TB@NO 10/26/2025 04:05PM ET,TB,11.04
WR,Rome Odunze (40470278),Rome Odunze,40470278,WR/FLEX,6300,CHI@BAL 10/26/2025 01:00PM ET,CHI,15.48
RB,Rico Dowdle (40470052),Rico Dowdle,40470052,RB/FLEX,6300,BUF@CAR 10/26/2025 01:00PM ET,CAR,14.89
QB,Drake Maye (40469968),Drake Maye,40469968,QB,6200,CLE@NE 10/26/2025 01:00PM ET,NE,21.42
WR,Courtland Sutton (40470280),Courtland Sutton,40470280,WR/FLEX,6200,DAL@DEN 10/26/2025 04:25PM ET,DEN,14.7
RB,Breece Hall (40470054),Breece Hall,40470054,RB/FLEX,6100,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,12.17
WR,A.J. Brown (40470282),A.J. Brown,40470282,WR/FLEX,6100,NYG@PHI 10/26/2025 01:00PM ET,PHI,13.21
QB,Daniel Jones (40469969),Daniel Jones,40469969,QB,6100,TEN@IND 10/26/2025 04:25PM ET,IND,20.84
RB,Derrick Henry (40470056),Derrick Henry,40470056,RB/FLEX,6000,CHI@BAL 10/26/2025 01:00PM ET,BAL,13.55
WR,Garrett Wilson (40470284),Garrett Wilson,40470284,WR/FLEX,6000,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,16.58
QB,Bo Nix (40469970),Bo Nix,40469970,QB,6000,DAL@DEN 10/26/2025 04:25PM ET,DEN,20.78
TE,Jake Ferguson (40470656),Jake Ferguson,40470656,TE/FLEX,6000,DAL@DEN 10/26/2025 04:25PM ET,DAL,17.2
RB,D'Andre Swift (40470058),D'Andre Swift,40470058,RB/FLEX,5900,CHI@BAL 10/26/2025 01:00PM ET,CHI,17.25
WR,DeVonta Smith (40470286),DeVonta Smith,40470286,WR/FLEX,5900,NYG@PHI 10/26/2025 01:00PM ET,PHI,15.2
QB,Brock Purdy (40469971),Brock Purdy,40469971,QB,5800,SF@HOU 10/26/2025 01:00PM ET,SF,21.22
WR,Stefon Diggs (40470288),Stefon Diggs,40470288,WR/FLEX,5800,CLE@NE 10/26/2025 01:00PM ET,NE,12.94
WR,Chris Olave (40470290),Chris Olave,40470290,WR/FLEX,5800,TB@NO 10/26/2025 04:05PM ET,NO,15
RB,J.K. Dobbins (40470060),J.K. Dobbins,40470060,RB/FLEX,5800,DAL@DEN 10/26/2025 04:25PM ET,DEN,12.64
WR,Jaylen Waddle (40470294),Jaylen Waddle,40470294,WR/FLEX,5700,MIA@ATL 10/26/2025 01:00PM ET,MIA,13.12
WR,Tetairoa McMillan (40470292),Tetairoa McMillan,40470292,WR/FLEX,5700,BUF@CAR 10/26/2025 01:00PM ET,CAR,12.33
RB,Alvin Kamara (40470062),Alvin Kamara,40470062,RB/FLEX,5700,TB@NO 10/26/2025 04:05PM ET,NO,10.93
QB,Caleb Williams (40469972),Caleb Williams,40469972,QB,5600,CHI@BAL 10/26/2025 01:00PM ET,CHI,18.27
WR,Tee Higgins (40470296),Tee Higgins,40470296,WR/FLEX,5600,NYJ@CIN 10/26/2025 01:00PM ET,CIN,10.51
WR,Michael Pittman Jr. (40470298),Michael Pittman Jr.,40470298,WR/FLEX,5600,TEN@IND 10/26/2025 04:25PM ET,IND,14.59
RB,Rhamondre Stevenson (40470064),Rhamondre Stevenson,40470064,RB/FLEX,5500,CLE@NE 10/26/2025 01:00PM ET,NE,10.27
QB,Jaxson Dart (40469973),Jaxson Dart,40469973,QB,5500,NYG@PHI 10/26/2025 01:00PM ET,NYG,15.24
WR,Chris Godwin Jr. (40470300),Chris Godwin Jr.,40470300,WR/FLEX,5500,TB@NO 10/26/2025 04:05PM ET,TB,5.6
TE,Tyler Warren (40470658),Tyler Warren,40470658,TE/FLEX,5500,TEN@IND 10/26/2025 04:25PM ET,IND,14.5
WR,Zay Flowers (40470302),Zay Flowers,40470302,WR/FLEX,5400,CHI@BAL 10/26/2025 01:00PM ET,BAL,14.25
QB,Joe Flacco (40469974),Joe Flacco,40469974,QB,5400,NYJ@CIN 10/26/2025 01:00PM ET,CIN,13.61
RB,Chase Brown (40470066),Chase Brown,40470066,RB/FLEX,5400,NYJ@CIN 10/26/2025 01:00PM ET,CIN,10.49
WR,Ricky Pearsall (40470304),Ricky Pearsall,40470304,WR/FLEX,5400,SF@HOU 10/26/2025 01:00PM ET,SF,14.58
WR,DJ Moore (40470306),DJ Moore,40470306,WR/FLEX,5300,CHI@BAL 10/26/2025 01:00PM ET,CHI,9.37
RB,Chuba Hubbard (40470068),Chuba Hubbard,40470068,RB/FLEX,5300,BUF@CAR 10/26/2025 01:00PM ET,CAR,12.72
QB,Mac Jones (40469975),Mac Jones,40469975,QB,5300,SF@HOU 10/26/2025 01:00PM ET,SF,16.91
QB,Bryce Young (40469976),Bryce Young,40469976,QB,5200,BUF@CAR 10/26/2025 01:00PM ET,CAR,14.77
WR,Wan'Dale Robinson (40470308),Wan'Dale Robinson,40470308,WR/FLEX,5200,NYG@PHI 10/26/2025 01:00PM ET,NYG,13.54
RB,Tony Pollard (40470070),Tony Pollard,40470070,RB/FLEX,5200,TEN@IND 10/26/2025 04:25PM ET,TEN,11.03
WR,Khalil Shakir (40470310),Khalil Shakir,40470310,WR/FLEX,5100,BUF@CAR 10/26/2025 01:00PM ET,BUF,10.72
QB,C.J. Stroud (40469977),C.J. Stroud,40469977,QB,5100,SF@HOU 10/26/2025 01:00PM ET,HOU,16.48
RB,Woody Marks (40470072),Woody Marks,40470072,RB/FLEX,5100,SF@HOU 10/26/2025 01:00PM ET,HOU,8.97
WR,Kendrick Bourne (40470312),Kendrick Bourne,40470312,WR/FLEX,5100,SF@HOU 10/26/2025 01:00PM ET,SF,11.58
WR,Keon Coleman (40470314),Keon Coleman,40470314,WR/FLEX,5000,BUF@CAR 10/26/2025 01:00PM ET,BUF,10.28
QB,Justin Fields (40469978),Justin Fields,40469978,QB,5000,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,16.25
RB,Nick Chubb (40470074),Nick Chubb,40470074,RB/FLEX,5000,SF@HOU 10/26/2025 01:00PM ET,HOU,8.43
QB,Michael Penix Jr. (40469979),Michael Penix Jr.,40469979,QB,4900,MIA@ATL 10/26/2025 01:00PM ET,ATL,14.28
RB,Kyle Monangai (40470078),Kyle Monangai,40470078,RB/FLEX,4900,CHI@BAL 10/26/2025 01:00PM ET,CHI,5.72
RB,Joe Mixon (40470076),Joe Mixon,40470076,RB/FLEX,4900,SF@HOU 10/26/2025 01:00PM ET,HOU,0
WR,Brandon Aiyuk (40470318),Brandon Aiyuk,40470318,WR/FLEX,4900,SF@HOU 10/26/2025 01:00PM ET,SF,0
WR,Calvin Ridley (40470316),Calvin Ridley,40470316,WR/FLEX,4900,TEN@IND 10/26/2025 04:25PM ET,TEN,8
QB,Tua Tagovailoa (40469980),Tua Tagovailoa,40469980,QB,4800,MIA@ATL 10/26/2025 01:00PM ET,MIA,13.47
RB,Tyler Allgeier (40470080),Tyler Allgeier,40470080,RB/FLEX,4800,MIA@ATL 10/26/2025 01:00PM ET,ATL,7.05
WR,Kayshon Boutte (40470320),Kayshon Boutte,40470320,WR/FLEX,4800,CLE@NE 10/26/2025 01:00PM ET,NE,11.8
RB,RJ Harvey (40470082),RJ Harvey,40470082,RB/FLEX,4800,DAL@DEN 10/26/2025 04:25PM ET,DEN,7.91
QB,Spencer Rattler (40469981),Spencer Rattler,40469981,QB,4700,TB@NO 10/26/2025 04:05PM ET,NO,14.5
RB,Kendre Miller (40470086),Kendre Miller,40470086,RB/FLEX,4700,TB@NO 10/26/2025 04:05PM ET,NO,4.76
WR,Rashid Shaheed (40470324),Rashid Shaheed,40470324,WR/FLEX,4700,TB@NO 10/26/2025 04:05PM ET,NO,11.59
RB,Tyjae Spears (40470084),Tyjae Spears,40470084,RB/FLEX,4700,TEN@IND 10/26/2025 04:25PM ET,TEN,5.8
WR,Josh Downs (40470322),Josh Downs,40470322,WR/FLEX,4700,TEN@IND 10/26/2025 04:25PM ET,IND,8.95
WR,Jauan Jennings (40470326),Jauan Jennings,40470326,WR/FLEX,4600,SF@HOU 10/26/2025 01:00PM ET,SF,7.74
RB,Tyrone Tracy Jr. (40470088),Tyrone Tracy Jr.,40470088,RB/FLEX,4600,NYG@PHI 10/26/2025 01:00PM ET,NYG,6.28
RB,Will Shipley (40470090),Will Shipley,40470090,RB/FLEX,4600,NYG@PHI 10/26/2025 01:00PM ET,PHI,1.14
QB,Cam Ward (40469982),Cam Ward,40469982,QB,4600,TEN@IND 10/26/2025 04:25PM ET,TEN,9.12
WR,Alec Pierce (40470328),Alec Pierce,40470328,WR/FLEX,4600,TEN@IND 10/26/2025 04:25PM ET,IND,9.54
RB,Justice Hill (40470096),Justice Hill,40470096,RB/FLEX,4500,CHI@BAL 10/26/2025 01:00PM ET,BAL,8.87
QB,Andy Dalton (40469983),Andy Dalton,40469983,QB,4500,BUF@CAR 10/26/2025 01:00PM ET,CAR,2.81
QB,Tyrod Taylor (40469984),Tyrod Taylor,40469984,QB,4500,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,10.39
RB,Brian Robinson Jr. (40470094),Brian Robinson Jr.,40470094,RB/FLEX,4500,SF@HOU 10/26/2025 01:00PM ET,SF,2.93
TE,George Kittle (40470660),George Kittle,40470660,TE/FLEX,4500,SF@HOU 10/26/2025 01:00PM ET,SF,6.25
RB,TreVeyon Henderson (40470092),TreVeyon Henderson,40470092,RB/FLEX,4500,CLE@NE 10/26/2025 01:00PM ET,NE,6.74
WR,Sterling Shepard (40470330),Sterling Shepard,40470330,WR/FLEX,4500,TB@NO 10/26/2025 04:05PM ET,TB,8.26
QB,Kirk Cousins (40469985),Kirk Cousins,40469985,QB,4400,MIA@ATL 10/26/2025 01:00PM ET,ATL,1.16
WR,Darnell Mooney (40470332),Darnell Mooney,40470332,WR/FLEX,4400,MIA@ATL 10/26/2025 01:00PM ET,ATL,6.18
RB,Samaje Perine (40470098),Samaje Perine,40470098,RB/FLEX,4400,NYJ@CIN 10/26/2025 01:00PM ET,CIN,2.47
TE,Harold Fannin Jr. (40470662),Harold Fannin Jr.,40470662,TE/FLEX,4400,CLE@NE 10/26/2025 01:00PM ET,CLE,9.63
RB,Sean Tucker (40470100),Sean Tucker,40470100,RB/FLEX,4400,TB@NO 10/26/2025 04:05PM ET,TB,1.89
RB,Ollie Gordon II (40470102),Ollie Gordon II,40470102,RB/FLEX,4300,MIA@ATL 10/26/2025 01:00PM ET,MIA,2.53
QB,Cooper Rush (40469986),Cooper Rush,40469986,QB,4300,CHI@BAL 10/26/2025 01:00PM ET,BAL,1.68
QB,Tyler Huntley (40469987),Tyler Huntley,40469987,QB,4300,CHI@BAL 10/26/2025 01:00PM ET,BAL,6.62
TE,Dalton Kincaid (40470664),Dalton Kincaid,40470664,TE/FLEX,4300,BUF@CAR 10/26/2025 01:00PM ET,BUF,13.94
RB,Jerome Ford (40470104),Jerome Ford,40470104,RB/FLEX,4300,CLE@NE 10/26/2025 01:00PM ET,CLE,5
WR,Darius Slayton (40470334),Darius Slayton,40470334,WR/FLEX,4300,NYG@PHI 10/26/2025 01:00PM ET,NYG,5.52
WR,Tez Johnson (40470336),Tez Johnson,40470336,WR/FLEX,4300,TB@NO 10/26/2025 04:05PM ET,TB,6.62
WR,DeAndre Hopkins (40470340),DeAndre Hopkins,40470340,WR/FLEX,4200,CHI@BAL 10/26/2025 01:00PM ET,BAL,6.47
RB,Ray Davis (40470106),Ray Davis,40470106,RB/FLEX,4200,BUF@CAR 10/26/2025 01:00PM ET,BUF,2.3
QB,Dillon Gabriel (40469988),Dillon Gabriel,40469988,QB,4200,CLE@NE 10/26/2025 01:00PM ET,CLE,7.11
QB,Shedeur Sanders (40469989),Shedeur Sanders,40469989,QB,4200,CLE@NE 10/26/2025 01:00PM ET,CLE,0
TE,Dallas Goedert (40470666),Dallas Goedert,40470666,TE/FLEX,4200,NYG@PHI 10/26/2025 01:00PM ET,PHI,14.35
RB,Devin Neal (40470108),Devin Neal,40470108,RB/FLEX,4200,TB@NO 10/26/2025 04:05PM ET,NO,0.33
WR,Troy Franklin (40470338),Troy Franklin,40470338,WR/FLEX,4200,DAL@DEN 10/26/2025 04:25PM ET,DEN,10.03
WR,Rashod Bateman (40470344),Rashod Bateman,40470344,WR/FLEX,4100,CHI@BAL 10/26/2025 01:00PM ET,BAL,4.83
RB,Isaiah Davis (40470110),Isaiah Davis,40470110,RB/FLEX,4100,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,2.96
WR,Jerry Jeudy (40470342),Jerry Jeudy,40470342,WR/FLEX,4100,CLE@NE 10/26/2025 01:00PM ET,CLE,6.81
RB,A.J. Dillon (40470112),A.J. Dillon,40470112,RB/FLEX,4100,NYG@PHI 10/26/2025 01:00PM ET,PHI,1.47
TE,Evan Engram (40470668),Evan Engram,40470668,TE/FLEX,4100,DAL@DEN 10/26/2025 04:25PM ET,DEN,7.77
QB,Emory Jones (40469990),Emory Jones,40469990,QB,4000,MIA@ATL 10/26/2025 01:00PM ET,ATL,0
QB,Easton Stick (40469991),Easton Stick,40469991,QB,4000,MIA@ATL 10/26/2025 01:00PM ET,ATL,0
QB,Quinn Ewers (40470013),Quinn Ewers,40470013,QB,4000,MIA@ATL 10/26/2025 01:00PM ET,MIA,2.12
QB,Zach Wilson (40470014),Zach Wilson,40470014,QB,4000,MIA@ATL 10/26/2025 01:00PM ET,MIA,1.58
RB,Nathan Carter (40470114),Nathan Carter,40470114,RB/FLEX,4000,MIA@ATL 10/26/2025 01:00PM ET,ATL,1.8
RB,Carlos Washington Jr. (40470116),Carlos Washington Jr.,40470116,RB/FLEX,4000,MIA@ATL 10/26/2025 01:00PM ET,ATL,0
RB,Jaylen Wright (40470188),Jaylen Wright,40470188,RB/FLEX,4000,MIA@ATL 10/26/2025 01:00PM ET,MIA,0
RB,Alexander Mattison (40470190),Alexander Mattison,40470190,RB/FLEX,4000,MIA@ATL 10/26/2025 01:00PM ET,MIA,0
RB,Alec Ingold (40470192),Alec Ingold,40470192,RB/FLEX,4000,MIA@ATL 10/26/2025 01:00PM ET,MIA,1.13
