Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40392332),Jonathan Taylor,40392332,RB/FLEX,8800,IND@LAC 10/19/2025 04:05PM ET,IND,25.67
RB,De'Von Achane (40392334),De'Von Achane,40392334,RB/FLEX,8100,MIA@CLE 10/19/2025 01:00PM ET,MIA,21.08
RB,Josh Jacobs (40392336),Josh Jacobs,40392336,RB/FLEX,7800,GB@ARI 10/19/2025 04:25PM ET,GB,20.9
RB,Saquon Barkley (40392338),Saquon Barkley,40392338,RB/FLEX,7700,PHI@MIN 10/19/2025 01:00PM ET,PHI,14.87
WR,Justin Jefferson (40392576),Justin Jefferson,40392576,WR/FLEX,7600,PHI@MIN 10/19/2025 01:00PM ET,MIN,17.26
WR,CeeDee Lamb (40392578),CeeDee Lamb,40392578,WR/FLEX,7500,WAS@DAL 10/19/2025 04:25PM ET,DAL,14.73
WR,George Pickens (40392580),George Pickens,40392580,WR/FLEX,7300,WAS@DAL 10/19/2025 04:25PM ET,DAL,21.08
QB,Patrick Mahomes (40392267),Patrick Mahomes,40392267,QB,7000,LV@KC 10/19/2025 01:00PM ET,KC,25.29
RB,Ashton Jeanty (40392340),Ashton Jeanty,40392340,RB/FLEX,7000,LV@KC 10/19/2025 01:00PM ET,LV,15.95
QB,Jayden Daniels (40392268),Jayden Daniels,40392268,QB,6900,WAS@DAL 10/19/2025 04:25PM ET,WAS,20.15
RB,Rico Dowdle (40392342),Rico Dowdle,40392342,RB/FLEX,6800,CAR@NYJ 10/19/2025 01:00PM ET,CAR,15.6
QB,Jalen Hurts (40392269),Jalen Hurts,40392269,QB,6700,PHI@MIN 10/19/2025 01:00PM ET,PHI,21.06
RB,Javonte Williams (40392344),Javonte Williams,40392344,RB/FLEX,6700,WAS@DAL 10/19/2025 04:25PM ET,DAL,19.32
WR,Rome Odunze (40392582),Rome Odunze,40392582,WR/FLEX,6600,NO@CHI 10/19/2025 01:00PM ET,CHI,17.56
WR,Garrett Wilson (40392584),Garrett Wilson,40392584,WR/FLEX,6500,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,16.58
RB,Cam Skattebo (40392346),Cam Skattebo,40392346,RB/FLEX,6500,NYG@DEN 10/19/2025 04:05PM ET,NYG,16.72
QB,Dak Prescott (40392270),Dak Prescott,40392270,QB,6500,WAS@DAL 10/19/2025 04:25PM ET,DAL,22.10
WR,Tetairoa McMillan (40392586),Tetairoa McMillan,40392586,WR/FLEX,6400,CAR@NYJ 10/19/2025 01:00PM ET,CAR,13.33
QB,Justin Herbert (40392271),Justin Herbert,40392271,QB,6400,IND@LAC 10/19/2025 04:05PM ET,LAC,19.70
WR,Jaylen Waddle (40392588),Jaylen Waddle,40392588,WR/FLEX,6300,MIA@CLE 10/19/2025 01:00PM ET,MIA,14.89
RB,Breece Hall (40392348),Breece Hall,40392348,RB/FLEX,6300,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,13
QB,Drake Maye (40392272),Drake Maye,40392272,QB,6300,NE@TEN 10/19/2025 01:00PM ET,NE,21.15
RB,Jordan Mason (40392350),Jordan Mason,40392350,RB/FLEX,6200,PHI@MIN 10/19/2025 01:00PM ET,MIN,12.94
QB,Jordan Love (40392273),Jordan Love,40392273,QB,6200,GB@ARI 10/19/2025 04:25PM ET,GB,19.03
WR,Deebo Samuel Sr. (40392590),Deebo Samuel Sr.,40392590,WR/FLEX,6200,WAS@DAL 10/19/2025 04:25PM ET,WAS,15.67
WR,Xavier Worthy (40392592),Xavier Worthy,40392592,WR/FLEX,6100,LV@KC 10/19/2025 01:00PM ET,KC,9.7
